job_id,job_title,company,location,experience,salary,work_mode,employment_type,skills,posted_date,description
JOB_05139,Backend Developer,Company II,Bengaluru,5-6 years,₹22.8L - ₹25.8L,Hybrid,Full-time,"C++, Java, Node.js, SQL, TensorFlow",2026-08-13,"We are looking for a highly skilled Backend Developer to join our engineering team. Required skills include Core Java, Node, SQL, c++, tensorflow. Apply now to join Company II."
JOB_02918,Backend Developer,Company EE,Chennai,7-8 years,₹22.1L - ₹26.0L,On-site,Contract,"Docker, Java, MongoDB, Node.js, SQL",2026-05-24,"We are looking for a highly skilled Backend Developer to join our engineering team. Required skills include Java, Node.js, Oracle, Docker, mongodb. Apply now to join Company EE."
JOB_04559,Software Engineer,Company B,Gurgaon,4-7 years,₹11.8L - ₹16.4L,Remote,Contract,"JavaScript, MongoDB, Python, SQL",2026-06-09,"We are looking for a highly skilled Software Engineer to join our engineering team. Required skills include PostgreSQL, Python 3, Javascript, mongodb. Apply now to join Company B."
JOB_04289,Machine Learning Engineer,Company EE,Noida,7-11 years,₹23.0L - ₹25.1L,On-site,Contract,"Python, React, SQL, Statistics",2026-02-08,"We are looking for a highly skilled Machine Learning Engineer to join our engineering team. Required skills include PYTHON, MySQL, Stats, react. Apply now to join Company EE."
JOB_00477,Data Engineer,Company U,Noida,6-10 years,₹26.6L - ₹30.0L,Hybrid,Part-time,"Node.js, Python, SQL, Statistics",2026-07-13,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include python, SQL, Statistics, NodeJS. Apply now to join Company U."
JOB_08589,Software Engineer,Company K,Bengaluru,4-7 years,₹11.8L - ₹14.0L,On-site,Full-time,"JavaScript, Node.js, Python, SQL",2025-11-18,"We are looking for a highly skilled Software Engineer to join our engineering team. Required skills include PostgreSQL, Vanilla JS, PYTHON, Node. Apply now to join Company K."
JOB_01750,Full Stack Developer,Company Q,Kolkata,3-5 years,₹19.9L - ₹24.9L,On-site,Full-time,"AWS, JavaScript, MongoDB, Python, SQL",2025-11-17,"We are looking for a highly skilled Full Stack Developer to join our engineering team. Required skills include Oracle, Python 3, JS, mongodb, Amazon AWS. Apply now to join Company Q."
JOB_05741,Data Engineer,Company FF,Unknown,3-7 years,₹11.5L - ₹16.3L,On-site,Contract,"Python, SQL, Statistics, TensorFlow",2026-09-13,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include Python 3, Statistics, SQL, tensorflow. Apply now to join Company FF."
JOB_05547,QA Engineer,Company V,Noida,5-8 years,₹17.0L - ₹22.0L,Hybrid,Part-time,"AWS, Python, SQL",2026-03-25,"We are looking for a highly skilled QA Engineer to join our engineering team. Required skills include SQL, Python, Amazon Web Services. Apply now to join Company V."
JOB_02528,QA Engineer,Company JJ,Kolkata,8-9 years,,Hybrid,Part-time,"JavaScript, Power BI, Python, TensorFlow",2025-09-26,"We are looking for a highly skilled QA Engineer to join our engineering team. Required skills include python, JavaScript, TF, power bi. Apply now to join Company JJ."
